work_id,openalex_url,doi,title,publication_year,publication_date,work_type,crossref_type,language,cited_by_count,fwci,cited_by_percentile_year_min,cited_by_percentile_year_max,referenced_works_count,locations_count,is_retracted,is_paratext,is_open_access,open_access_status,open_access_url,any_repository_has_fulltext,primary_source_id,primary_source_name,primary_source_type,primary_source_issn_l,primary_source_publisher,primary_landing_page_url,primary_pdf_url,primary_license,primary_version,primary_is_oa,primary_topic_id,primary_topic_name,primary_subfield_name,primary_field_name,primary_domain_name,author_count,institution_count,country_count,country_codes,first_author_name,last_author_name,matched_query_terms,matched_query_count,retrieval_modes,frontier_ai_relevance_score
W4414893773,https://openalex.org/W4414893773,https://doi.org/10.1109/icassp55912.2026.11464672,Improve MLLM Benchmark Efficiency Through Interview,2026,2026-04-21,article,,en,1,0.0,91.0,95.0,0,3,False,False,True,green,https://arxiv.org/pdf/2506.00883,True,,,,,,https://doi.org/10.1109/icassp55912.2026.11464672,,,publishedVersion,False,T10215,Semantic Web and Ontologies,Artificial Intelligence,Computer Science,Physical Sciences,9,3,1,CN,Farong Wen,Zicheng Zhang,multimodal large language model,1,newest,2
W4415131672,https://openalex.org/W4415131672,https://doi.org/10.1016/j.trc.2026.105692,From street views to urban science: Discovering road safety factors with multimodal large language models,2026,2026-04-16,article,,en,1,16.3494,96.0,98.0,0,3,False,False,True,hybrid,https://doi.org/10.1016/j.trc.2026.105692,True,S64511102,Transportation Research Part C Emerging Technologies,journal,0968-090X,Elsevier BV,https://doi.org/10.1016/j.trc.2026.105692,,cc-by,publishedVersion,True,T11344,Traffic Prediction and Management Techniques,Building and Construction,Engineering,Physical Sciences,7,0,0,,Yihong Tang,Lijun Sun,multimodal large language model,1,newest,3
W7155058168,https://openalex.org/W7155058168,https://doi.org/10.1109/icassp55912.2026.11462095,FadeMem: Biologically-Inspired Forgetting for Efficient Agent Memory,2026,2026-04-21,article,,,1,31.8486,96.0,98.0,20,1,False,False,False,closed,,False,,,,,,https://doi.org/10.1109/icassp55912.2026.11462095,,,publishedVersion,False,T11714,Multimodal Machine Learning Applications,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,5,1,1,CN,Lei Wei,Bin Wang,large language model agent,1,newest,1
W7155089383,https://openalex.org/W7155089383,https://doi.org/10.1109/icassp55912.2026.11462757,Think-Augmented Function Calling: Improving LLM Parameter Accuracy through Embedded Reasoning,2026,2026-04-21,article,,,1,34.8138,96.0,98.0,10,1,False,False,False,closed,,False,,,,,,https://doi.org/10.1109/icassp55912.2026.11462757,,,publishedVersion,False,T10126,"Logic, programming, and type systems",Artificial Intelligence,Computer Science,Physical Sciences,4,1,1,CN,Lei Wei,Bin Wang,large language model agent,1,newest,1
W7155105139,https://openalex.org/W7155105139,https://doi.org/10.1109/icassp55912.2026.11462125,LAMB: LLM-Based Audio Captioning with Modality Gap Bridging Via Cauchy-Schwarz Divergence,2026,2026-04-21,article,,,1,34.8138,96.0,98.0,23,1,False,False,False,closed,,False,,,,,,https://doi.org/10.1109/icassp55912.2026.11462125,,,publishedVersion,False,T10201,Speech Recognition and Synthesis,Artificial Intelligence,Computer Science,Physical Sciences,4,1,1,KR,Hyeongkeun Lee,Joon Son Chung,LLM alignment,1,newest,1
W7125799690,https://openalex.org/W7125799690,https://doi.org/10.1145/3772318.3790681,An Exploration of Default Images in Text-to-Image Generation,2026,2026-04-13,article,,,1,0.0,,,0,2,False,False,True,gold,https://doi.org/10.1145/3772318.3790681,True,,,,,,https://doi.org/10.1145/3772318.3790681,,cc-by,publishedVersion,True,T10775,Generative Adversarial Networks and Image Synthesis,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,5,3,3,CA|FI|PT,Hannu Simonen,Jonas Oppenlaender,prompt engineering,1,newest,1
W7127352915,https://openalex.org/W7127352915,https://doi.org/10.1145/3772318.3791642,From Junior to Senior: Allocating Agency and Navigating Professional Growth in Agentic AI-Mediated Software Engineering,2026,2026-04-13,article,,,1,0.0,,,0,3,False,False,True,gold,https://doi.org/10.1145/3772318.3791642,True,,,,,,https://doi.org/10.1145/3772318.3791642,,cc-by,publishedVersion,True,T10883,Ethics and Social Impacts of AI,Safety Research,Social Sciences,Social Sciences,3,1,1,CH,Dana Feng,April Wang,prompt engineering,1,newest,1
W7128480797,https://openalex.org/W7128480797,https://doi.org/10.1145/3772318.3791222,Data-Prompt Co-Evolution: Growing Test Sets to Refine LLM Behavior,2026,2026-04-13,article,,,1,0.0,,,0,3,False,False,True,gold,https://doi.org/10.1145/3772318.3791222,True,,,,,,https://doi.org/10.1145/3772318.3791222,,cc-by,publishedVersion,True,T10028,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,2,1,1,KR,Minjae Lee,Minsuk Kahng,prompt engineering,1,newest,1
W7130719059,https://openalex.org/W7130719059,https://doi.org/10.1145/3772318.3791834,Say It My Way: Exploring Control in Conversational Visual Question Answering with Blind Users,2026,2026-04-13,article,,,1,0.0,,,0,3,False,False,True,gold,https://doi.org/10.1145/3772318.3791834,True,,,,,,https://doi.org/10.1145/3772318.3791834,,cc-by,publishedVersion,True,T11714,Multimodal Machine Learning Applications,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,5,2,1,US,Farnaz Zamiri Zeraati,Hernisa Kacorri,prompt engineering,1,newest,1
W7153795209,https://openalex.org/W7153795209,https://doi.org/10.1145/3772363.3799168,PromptFlow: Supporting Novice Prompt Engineering Through Structured and Visual Scaffolding,2026,2026-04-13,article,,,1,0.0,,,10,1,False,False,True,gold,https://doi.org/10.1145/3772363.3799168,,,,,,,https://doi.org/10.1145/3772363.3799168,,cc-by,publishedVersion,True,T10533,Teaching and Learning Programming,Computer Science Applications,Computer Science,Physical Sciences,1,1,1,KR,Hayeon Doh,Hayeon Doh,prompt engineering,1,newest,1
W7153795429,https://openalex.org/W7153795429,https://doi.org/10.1145/3772363.3799174,Meaning over Quantity: An Exploratory Study on How Relationship Intimacy Shapes Giver Query Formulation in LLM-based Gift Recommendation,2026,2026-04-13,article,,,1,0.0,,,13,1,False,False,True,gold,https://doi.org/10.1145/3772363.3799174,,,,,,,https://doi.org/10.1145/3772363.3799174,,cc-by,publishedVersion,True,T10203,Recommender Systems and Techniques,Information Systems,Computer Science,Physical Sciences,1,1,1,KR,Sehyun Lee,Sehyun Lee,prompt engineering,1,newest,1
W7155677942,https://openalex.org/W7155677942,https://doi.org/10.4043/36800-ms,Advancing Operational Integrity Through Multimodal AI-Powered Robotic Inspection,2026,2026-04-27,article,,,0,0.0,,,8,1,False,False,False,closed,,False,S4306521389,Offshore Technology Conference,conference,,,https://doi.org/10.4043/36800-ms,,,publishedVersion,False,T13050,Oil and Gas Production Techniques,Ocean Engineering,Engineering,Physical Sciences,6,0,0,,F. Song,J. Dong,large language model|large language model agent|multimodal large language model,3,newest,1
W7155681961,https://openalex.org/W7155681961,https://doi.org/10.5281/zenodo.19802282,"Emergent Deception in Large Language Models: A Conceptual Framework, Taxonomy, and Pre-Registered Empirical Protocol",2026,2026-04-27,article,,,0,0.0,,,0,1,False,False,True,green,https://doi.org/10.5281/zenodo.19802282,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19802282,,cc-by,,True,T11636,Artificial Intelligence in Healthcare and Education,Health Informatics,Medicine,Health Sciences,1,0,0,,Vijay Suresh,Vijay Suresh,large language model,1,newest,2
W7155682645,https://openalex.org/W7155682645,https://doi.org/10.4043/37098-ms,Evaluating Large Language Models to Develop a Customized ChatGPT Agent to Extract Structured Data from Offshore Drilling Incident Reports,2026,2026-04-27,article,,,0,0.0,,,4,1,False,False,False,closed,,False,S4306521389,Offshore Technology Conference,conference,,,https://doi.org/10.4043/37098-ms,,,publishedVersion,False,T11636,Artificial Intelligence in Healthcare and Education,Health Informatics,Medicine,Health Sciences,3,1,1,US,Akram Pattan,Maryam Tabibzadeh,foundation model|large language model|large language model agent|prompt engineering,4,newest,4
W7155686551,https://openalex.org/W7155686551,https://doi.org/10.21203/rs.3.rs-9495012/v1,"CogDoc: A Knowledge Centric Multi Model LLM for Clause Level Extraction, Structured Representation, and Consistency Reasoning over Legal and Policy Documents",2026,2026-04-27,preprint,,,0,,,,25,1,False,False,True,green,https://doi.org/10.21203/rs.3.rs-9495012/v1,True,S4306525896,Research Square,repository,,,https://doi.org/10.21203/rs.3.rs-9495012/v1,,cc-by,acceptedVersion,True,T13643,Artificial Intelligence in Law,Political Science and International Relations,Social Sciences,Social Sciences,6,1,1,IN,Veerababu Reddy,Sri Vardhini Nidamanuri,large language model,1,newest,1
W7155695131,https://openalex.org/W7155695131,https://doi.org/10.5281/zenodo.19802522,HERALD: A Hybrid Edge-RAG Architecture for Privacy-Preserving WhatsApp Humanoid Response Generation Using Local LLMs,2026,2026-04-27,article,,en,0,0.0,,,0,1,False,False,True,green,https://doi.org/10.5281/zenodo.19802522,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19802522,,cc-by,,True,T12488,Mental Health via Writing,Social Psychology,Psychology,Social Sciences,2,1,1,IN,Sumit Soni,Digaswala Frenisha,large language model|retrieval augmented generation,2,newest,3
W7155697460,https://openalex.org/W7155697460,https://doi.org/10.4043/36736-ms,A Paradigm Shift in Asset Maintenance: Novel Industrial GenAI-Powered DataOps Solution That Transformed Oil &amp; Gas Maintenance &amp; Operations,2026,2026-04-27,article,,,0,0.0,,,0,1,False,False,False,closed,,False,S4306521389,Offshore Technology Conference,conference,,,https://doi.org/10.4043/36736-ms,,,publishedVersion,False,T11801,Reservoir Engineering and Simulation Methods,Ocean Engineering,Engineering,Physical Sciences,1,0,0,,I. Mathur,I. Mathur,foundation model|large language model,2,newest,1
W7155698114,https://openalex.org/W7155698114,https://doi.org/10.1007/s00170-026-17818-y,Resource-Efficient Adaptation of Large Vision–Language Models for Multimodal Defect Inspection in LNG Tank Manufacturing,2026,2026-04-27,article,,en,0,0.0,,,27,1,False,False,False,closed,,False,S77056576,The International Journal of Advanced Manufacturing Technology,journal,0268-3768,Springer Science+Business Media,https://doi.org/10.1007/s00170-026-17818-y,,,publishedVersion,False,T10036,Advanced Neural Network Applications,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,4,0,0,,Hung Viet Nguyen,Jinhong Yang,large language model|multimodal large language model,2,newest,2
W7155699073,https://openalex.org/W7155699073,https://doi.org/10.5281/zenodo.19801306,From Dashboards to Dialogues: Using AI and AI Agents to Build Self-Service Business Intelligence Reports,2026,2026-04-27,preprint,,en,0,,,,0,1,False,False,True,green,https://doi.org/10.5281/zenodo.19801306,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19801306,,cc-by,,True,T11891,Big Data and Business Intelligence,Management Information Systems,"Business, Management and Accounting",Social Sciences,1,1,1,GB,Suhas Gorur Ravi Kumar,Suhas Gorur Ravi Kumar,large language model|large language model agent,2,newest,1
W7155702223,https://openalex.org/W7155702223,https://doi.org/10.4043/36815-ms,A Deterministic Data Agent Framework for Generative AI in Oil and Gas Operation,2026,2026-04-27,article,,,0,0.0,,,2,1,False,False,False,closed,,False,S4306521389,Offshore Technology Conference,conference,,,https://doi.org/10.4043/36815-ms,,,publishedVersion,False,T11801,Reservoir Engineering and Simulation Methods,Ocean Engineering,Engineering,Physical Sciences,2,0,0,,R. Sreekrishnan,S. Srivastava,large language model|large language model agent,2,newest,1
W7155705798,https://openalex.org/W7155705798,https://doi.org/10.5281/zenodo.19802521,HERALD: A Hybrid Edge-RAG Architecture for Privacy-Preserving WhatsApp Humanoid Response Generation Using Local LLMs,2026,2026-04-27,article,,en,0,0.0,,,0,1,False,False,True,green,https://doi.org/10.5281/zenodo.19802521,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19802521,,cc-by,,True,T12488,Mental Health via Writing,Social Psychology,Psychology,Social Sciences,2,1,1,IN,Sumit Soni,Digaswala Frenisha,large language model|retrieval augmented generation,2,newest,3
W7155717193,https://openalex.org/W7155717193,https://doi.org/10.5281/zenodo.19802283,"Emergent Deception in Large Language Models: A Conceptual Framework, Taxonomy, and Pre-Registered Empirical Protocol",2026,2026-04-27,article,,,0,0.0,,,0,1,False,False,True,green,https://doi.org/10.5281/zenodo.19802283,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19802283,,cc-by,,True,T11636,Artificial Intelligence in Healthcare and Education,Health Informatics,Medicine,Health Sciences,1,0,0,,Vijay Suresh,Vijay Suresh,large language model,1,newest,2
W7155723380,https://openalex.org/W7155723380,https://doi.org/10.5281/zenodo.19801285,CSA-Overlay: A Behavioural Instrument for Detecting Constraint–Competence Coupling in Aligned Language Models,2026,2026-04-27,preprint,,,0,,,,0,1,False,False,True,green,https://doi.org/10.5281/zenodo.19801285,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19801285,,cc-by,,True,T12026,Explainable Artificial Intelligence (XAI),Artificial Intelligence,Computer Science,Physical Sciences,1,0,0,,Neil Clive Tuckwell,Neil Clive Tuckwell,large language model,1,newest,1
W7155739400,https://openalex.org/W7155739400,https://doi.org/10.5281/zenodo.19801307,From Dashboards to Dialogues: Using AI and AI Agents to Build Self-Service Business Intelligence Reports,2026,2026-04-27,preprint,,en,0,,,,0,1,False,False,True,green,https://doi.org/10.5281/zenodo.19801307,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19801307,,cc-by,,True,T11891,Big Data and Business Intelligence,Management Information Systems,"Business, Management and Accounting",Social Sciences,1,1,1,GB,Suhas Gorur Ravi Kumar,Suhas Gorur Ravi Kumar,large language model|large language model agent,2,newest,1
W7155740877,https://openalex.org/W7155740877,https://doi.org/10.20944/preprints202604.1776.v1,Why Do Different Aligned LLMs Exhibit Different Internal Responses to the Same Jailbreak Prompt?,2026,2026-04-27,preprint,,,0,,,,0,1,False,False,True,green,https://doi.org/10.20944/preprints202604.1776.v1,True,S6309402219,Preprints.org,repository,,,https://doi.org/10.20944/preprints202604.1776.v1,,cc-by,acceptedVersion,True,T10028,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,1,0,0,,Md Nurul Absar Siddiky,Md Nurul Absar Siddiky,LLM alignment|large language model,2,newest,1
W7131391825,https://openalex.org/W7131391825,https://doi.org/10.5281/zenodo.18715259,"Swarm-Steward Benchmark Data: Feature RAG, Swarm Scalability, and LLM Model Evaluation Artifacts",2026,2026-04-26,dataset,,,0,,,,0,2,False,False,True,green,,True,S4406922384,Open MIND,repository,,,,,cc-by,submittedVersion,True,,,,,,4,1,1,DK,Alejandro Jarabo-Peñas,"Christensen, Anders Lyhne",large language model|large language model agent|retrieval augmented generation,3,newest,2
W7155609242,https://openalex.org/W7155609242,https://doi.org/10.5281/zenodo.19774944,KNOWL: Retrieval-augmented generation and hybrid knowledge-graph retrieval for more reliable enterprise LLM applications — Implementation and results,2026,2026-04-26,article,,en,0,0.0,,,0,1,False,False,True,green,https://doi.org/10.5281/zenodo.19774944,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19774944,,cc-by,,True,T11273,Advanced Graph Neural Networks,Artificial Intelligence,Computer Science,Physical Sciences,1,1,1,US,Victor Perez Cuaresma,Victor Perez Cuaresma,large language model|retrieval augmented generation,2,newest,1
W7155612658,https://openalex.org/W7155612658,https://doi.org/10.5281/zenodo.19774520,Behavioral Forensics in Large Language Models: Why a Distinct Field Is Needed,2026,2026-04-26,preprint,,,0,,,,1,1,False,False,True,green,https://doi.org/10.5281/zenodo.19774520,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19774520,,cc-by,,True,T12026,Explainable Artificial Intelligence (XAI),Artificial Intelligence,Computer Science,Physical Sciences,1,1,1,BR,Matthew L. Yates,Matthew L. Yates,large language model,1,newest,2
W7155612852,https://openalex.org/W7155612852,https://doi.org/10.5281/zenodo.19766052,Quantitative Analysis of Hallucination Bias in LLM Counting Tasks and Suppression Effects via Structured Protocol (KIS),2026,2026-04-26,preprint,,,0,,,,0,1,False,False,True,green,https://doi.org/10.5281/zenodo.19766052,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19766052,,cc-by,,True,T10206,Meta-analysis and systematic reviews,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences,1,0,0,,Hiroyasu Hasegawa,Hiroyasu Hasegawa,large language model|prompt engineering,2,newest,1
W7155614642,https://openalex.org/W7155614642,https://doi.org/10.5281/zenodo.19774001,The Backbone Pattern: A Graph-Substrate Architecture for Governing Multi-Agent AI Ecosystems,2026,2026-04-26,preprint,,,0,,,,4,1,False,False,True,green,https://doi.org/10.5281/zenodo.19774001,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19774001,,cc-by,,True,T10927,Access Control and Trust,Sociology and Political Science,Social Sciences,Social Sciences,1,0,0,,RUDSON KIYOSHI SOUZA CARVALHO,RUDSON KIYOSHI SOUZA CARVALHO,large language model|large language model agent,2,newest,1
W7155617509,https://openalex.org/W7155617509,https://doi.org/10.5281/zenodo.19774002,The Backbone Pattern: A Graph-Substrate Architecture for Governing Multi-Agent AI Ecosystems,2026,2026-04-26,preprint,,,0,,,,4,1,False,False,True,green,https://doi.org/10.5281/zenodo.19774002,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19774002,,cc-by,,True,T10927,Access Control and Trust,Sociology and Political Science,Social Sciences,Social Sciences,1,0,0,,RUDSON KIYOSHI SOUZA CARVALHO,RUDSON KIYOSHI SOUZA CARVALHO,large language model|large language model agent,2,newest,1
W7155630368,https://openalex.org/W7155630368,https://doi.org/10.5281/zenodo.19774521,Behavioral Forensics in Large Language Models: Why a Distinct Field Is Needed,2026,2026-04-26,preprint,,,0,,,,1,1,False,False,True,green,https://doi.org/10.5281/zenodo.19774521,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19774521,,cc-by,,True,T12026,Explainable Artificial Intelligence (XAI),Artificial Intelligence,Computer Science,Physical Sciences,1,1,1,BR,Matthew L. Yates,Matthew L. Yates,large language model,1,newest,2
W7155631352,https://openalex.org/W7155631352,https://doi.org/10.1007/s44163-026-01276-2,ChatGPT-4 in comparison with traumatological junior doctors in emergency room cases at a level 1 trauma centre – a pilot study,2026,2026-04-26,article,,en,0,0.0,,,26,1,False,False,True,gold,https://link.springer.com/content/pdf/10.1007/s44163-026-01276-2.pdf,False,S4210220416,Discover Artificial Intelligence,journal,2731-0809,Springer Nature,https://doi.org/10.1007/s44163-026-01276-2,https://link.springer.com/content/pdf/10.1007/s44163-026-01276-2.pdf,cc-by,publishedVersion,True,T11636,Artificial Intelligence in Healthcare and Education,Health Informatics,Medicine,Health Sciences,6,1,1,DE,Sebastian Wegmann,Maximilian Weber,large language model,1,newest,2
W7155652305,https://openalex.org/W7155652305,https://doi.org/10.5281/zenodo.19774945,KNOWL: Retrieval-augmented generation and hybrid knowledge-graph retrieval for more reliable enterprise LLM applications — Implementation and results,2026,2026-04-26,article,,en,0,0.0,,,0,1,False,False,True,green,https://doi.org/10.5281/zenodo.19774945,True,S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,,European Organization for Nuclear Research,https://doi.org/10.5281/zenodo.19774945,,cc-by,,True,T11273,Advanced Graph Neural Networks,Artificial Intelligence,Computer Science,Physical Sciences,1,1,1,US,Victor Perez Cuaresma,Victor Perez Cuaresma,large language model|retrieval augmented generation,2,newest,1
W7155677396,https://openalex.org/W7155677396,https://doi.org/10.19128/turje.1847304,"Designing, developing, and evaluating educational games that provide adaptive feedback with generative artificial intelligence",2026,2026-04-26,article,,en,0,0.0,,,61,1,False,False,True,diamond,https://doi.org/10.19128/turje.1847304,False,S2764692716,Turkish Journal of Education,journal,2147-2858,Turkish Journal of Education,https://doi.org/10.19128/turje.1847304,,cc-by-nc,publishedVersion,True,T10731,Educational Games and Gamification,Developmental and Educational Psychology,Psychology,Social Sciences,2,3,1,TR,Hamza Aydemir,Hakan Tüzün,generative artificial intelligence|large language model|retrieval augmented generation,3,newest,1
W7155677576,https://openalex.org/W7155677576,https://doi.org/10.6084/m9.figshare.32101804,Designing Guardrails to Align LLM-Generated Social Scenarios with the Needs of Autistic Learners,2026,2026-04-26,other,,,0,,,,0,1,False,False,True,green,https://doi.org/10.6084/m9.figshare.32101804,True,S4377196282,Figshare,repository,,Figshare (United Kingdom),https://doi.org/10.6084/m9.figshare.32101804,,cc-by,,True,,,,,,1,0,0,,Mahmoud Elbattah,Mahmoud Elbattah,large language model,1,newest,1
