doi,title,publication_date,first_author_name,last_author_name,open_access_url
https://doi.org/10.48550/arxiv.2303.13375,Capabilities of GPT-4 on Medical Challenge Problems,2023-03-20,Harsha Nori,Eric Horvitz,https://arxiv.org/pdf/2303.13375
https://doi.org/10.48550/arxiv.2304.10592,MiniGPT-4: Enhancing Vision-Language Understanding with Advanced Large Language Models,2023-04-20,Deyao Zhu,Mohamed Elhoseiny,https://arxiv.org/pdf/2304.10592
https://doi.org/10.48550/arxiv.2306.05685,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,2023-06-09,Lianmin Zheng,Ion Stoica,https://arxiv.org/pdf/2306.05685
https://doi.org/10.48550/arxiv.2305.06500,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,2023-05-11,Wenliang Dai,Steven C. H. Hoi,https://arxiv.org/pdf/2305.06500
https://doi.org/10.48550/arxiv.2303.04226,A Comprehensive Survey of AI-Generated Content (AIGC): A History of Generative AI from GAN to ChatGPT,2023-03-07,Yihan Cao,Lichao Sun,https://arxiv.org/pdf/2303.04226
https://doi.org/10.48550/arxiv.2308.12950,Code Llama: Open Foundation Models for Code,2023-08-24,Baptiste Rozière,Gabriel Synnaeve,https://arxiv.org/pdf/2308.12950
https://doi.org/10.48550/arxiv.2302.04761,Toolformer: Language Models Can Teach Themselves to Use Tools,2023-02-09,Timo Schick,Thomas Scialom,https://arxiv.org/pdf/2302.04761
https://doi.org/10.48550/arxiv.2307.06435,A Comprehensive Overview of Large Language Models,2023-07-12,Humza Naveed,Ajmal Mian,https://arxiv.org/pdf/2307.06435
https://doi.org/10.48550/arxiv.2302.04023,"A Multitask, Multilingual, Multimodal Evaluation of ChatGPT on Reasoning, Hallucination, and Interactivity",2023-02-08,Yejin Bang,Pascale Fung,https://arxiv.org/pdf/2302.04023
https://doi.org/10.48550/arxiv.2303.03378,PaLM-E: An Embodied Multimodal Language Model,2023-03-06,Danny Driess,Pete Florence,https://arxiv.org/pdf/2303.03378
https://doi.org/10.48550/arxiv.2305.09617,Towards Expert-Level Medical Question Answering with Large Language Models,2023-05-16,Karan Singhal,Vivek Natarajan,https://arxiv.org/pdf/2305.09617
https://doi.org/10.1145/3582269.3615599,Gender bias and stereotypes in Large Language Models,2023-10-13,Hadas Kotek,David Sun,https://arxiv.org/pdf/2308.14921
https://doi.org/10.48550/arxiv.2303.17564,BloombergGPT: A Large Language Model for Finance,2023-03-30,Shijie Wu,Gideon Mann,https://arxiv.org/pdf/2303.17564
https://doi.org/10.48550/arxiv.2301.13867,Mathematical Capabilities of ChatGPT,2023-01-31,Simon Frieder,Julius Berner,https://arxiv.org/pdf/2301.13867
https://doi.org/10.48550/arxiv.2301.07597,"How Close is ChatGPT to Human Experts? Comparison Corpus, Evaluation, and Detection",2023-01-18,Biyang Guo,Yupeng Wu,https://arxiv.org/pdf/2301.07597
https://doi.org/10.48550/arxiv.2305.18290,Direct Preference Optimization: Your Language Model is Secretly a Reward Model,2023-05-29,Rafael Rafailov,Chelsea Finn,https://arxiv.org/pdf/2305.18290
https://doi.org/10.48550/arxiv.2307.15818,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023-07-28,Anthony Brohan,Brianna Zitkovich,https://arxiv.org/pdf/2307.15818
https://doi.org/10.48550/arxiv.2303.17580,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,2023-03-30,Yongliang Shen,Yueting Zhuang,https://arxiv.org/pdf/2303.17580
https://doi.org/10.48550/arxiv.2303.11366,Reflexion: Language Agents with Verbal Reinforcement Learning,2023-03-20,Noah Shinn,"Yao, Shunyu",https://arxiv.org/pdf/2303.11366
https://doi.org/10.48550/arxiv.2309.07864,The Rise and Potential of Large Language Model Based Agents: A Survey,2023-09-14,Zhiheng Xi,Tao Gui,https://arxiv.org/pdf/2309.07864
https://doi.org/10.48550/arxiv.2309.01219,Siren's Song in the AI Ocean: A Survey on Hallucination in Large Language Models,2023-09-03,Yue Zhang,Shuming Shi,https://arxiv.org/pdf/2309.01219
https://doi.org/10.48550/arxiv.2401.00096,A foundation model for atomistic materials chemistry,2023-12-29,"Batatia, Ilyes",Gábor Csányi,https://arxiv.org/pdf/2401.00096
https://doi.org/10.48550/arxiv.2306.00890,LLaVA-Med: Training a Large Language-and-Vision Assistant for Biomedicine in One Day,2023-06-01,Chunyuan Li,Jianfeng Gao,https://arxiv.org/pdf/2306.00890
https://doi.org/10.48550/arxiv.2307.03109,A Survey on Evaluation of Large Language Models,2023-07-06,Yupeng Chang,Xing Xie,https://arxiv.org/pdf/2307.03109
https://doi.org/10.48550/arxiv.2305.16291,Voyager: An Open-Ended Embodied Agent with Large Language Models,2023-05-25,Guanzhi Wang,Anima Anandkumar,https://arxiv.org/pdf/2305.16291
https://doi.org/10.48550/arxiv.2303.04671,"Visual ChatGPT: Talking, Drawing and Editing with Visual Foundation Models",2023-03-08,Chenfei Wu,Nan Duan,https://arxiv.org/pdf/2303.04671
https://doi.org/10.48550/arxiv.2301.10343,ClimaX: A foundation model for weather and climate,2023-01-24,Tung Nguyen,Aditya Grover,https://arxiv.org/pdf/2301.10343
https://doi.org/10.48550/arxiv.2304.14178,mPLUG-Owl: Modularization Empowers Large Language Models with Multimodality,2023-04-27,Qinghao Ye,"Zhou, Jingren",https://arxiv.org/pdf/2304.14178
https://doi.org/10.48550/arxiv.2309.17421,The Dawn of LMMs: Preliminary Explorations with GPT-4V(ision),2023-09-29,Zhengyuan Yang,Lijuan Wang,https://arxiv.org/pdf/2309.17421
https://doi.org/10.48550/arxiv.2311.16452,Can Generalist Foundation Models Outcompete Special-Purpose Tuning? Case Study in Medicine,2023-11-28,Harsha Nori,Eric Horvitz,https://arxiv.org/pdf/2311.16452
https://doi.org/10.48550/arxiv.2302.14045,Language Is Not All You Need: Aligning Perception with Language Models,2023-02-27,Shaohan Huang,Furu Wei,https://arxiv.org/pdf/2302.14045
https://doi.org/10.48550/arxiv.2302.09419,A Comprehensive Survey on Pretrained Foundation Models: A History from BERT to ChatGPT,2023-02-18,Ce Zhou,Lichao Sun,https://arxiv.org/pdf/2302.09419
https://doi.org/10.48550/arxiv.2308.12966,"Qwen-VL: A Versatile Vision-Language Model for Understanding, Localization, Text Reading, and Beyond",2023-08-24,Jinze Bai,Jingren Zhou,https://arxiv.org/pdf/2308.12966
https://doi.org/10.48550/arxiv.2310.14735,Unleashing the potential of prompt engineering for large language models,2023-10-23,B.‐C. CHEN,Shengxin Zhu,https://arxiv.org/pdf/2310.14735
https://doi.org/10.48550/arxiv.2304.07327,OpenAssistant Conversations -- Democratizing Large Language Model Alignment,2023-04-14,Andreas Köpf,Alexander Mattick,https://arxiv.org/pdf/2304.07327
https://doi.org/10.48550/arxiv.2308.00352,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,2023-08-01,Sirui Hong,"Schmidhuber, Jürgen",https://arxiv.org/pdf/2308.00352
https://doi.org/10.48550/arxiv.2304.05376,ChemCrow: Augmenting large-language models with chemistry tools,2023-04-11,Andres M Bran,"Schwaller, Philippe",https://arxiv.org/pdf/2304.05376
https://doi.org/10.48550/arxiv.2306.14824,Kosmos-2: Grounding Multimodal Large Language Models to the World,2023-06-26,Zhiliang Peng,Furu Wei,https://arxiv.org/pdf/2306.14824
https://doi.org/10.48550/arxiv.2302.05442,Scaling Vision Transformers to 22 Billion Parameters,2023-02-10,Mostafa Dehghani,Neil Houlsby,https://arxiv.org/pdf/2302.05442
https://doi.org/10.48550/arxiv.2304.15010,LLaMA-Adapter V2: Parameter-Efficient Visual Instruction Model,2023-04-28,Peng Gao,Yu Qiao,https://arxiv.org/pdf/2304.15010
https://doi.org/10.48550/arxiv.2304.14670,Prompt Engineering for Healthcare: Methodologies and Applications,2023-04-28,Jiaqi Wang,Shu Zhang,https://arxiv.org/pdf/2304.14670
https://doi.org/10.48550/arxiv.2308.11432,A Survey on Large Language Model based Autonomous Agents,2023-08-22,Lei Wang,Ji-Rong Wen,https://arxiv.org/pdf/2308.11432
https://doi.org/10.48550/arxiv.2304.11938,Is ChatGPT the Ultimate Programming Assistant -- How far is it?,2023-04-24,Haoye Tian,Tegawendé F. Bissyandé,https://arxiv.org/pdf/2304.11938
https://doi.org/10.48550/arxiv.2305.13860,Jailbreaking ChatGPT via Prompt Engineering: An Empirical Study,2023-05-23,Yi Liu,"Liu, Yang",https://arxiv.org/pdf/2305.13860
https://doi.org/10.48550/arxiv.2203.02155,Training language models to follow instructions with human feedback,2022-03-04,Long Ouyang,Ryan Lowe,https://arxiv.org/pdf/2203.02155
https://doi.org/10.48550/arxiv.2201.11903,"BNAI, NO-TOKEN, and MIND-UNITY: Pillars of a Systemic Revolution in Artificial Intelligence",2022-01-28,"Wei, Jason",Denny Zhou,https://arxiv.org/pdf/2201.11903
https://doi.org/10.1007/s11263-022-01653-1,Learning to Prompt for Vision-Language Models,2022-07-31,Kaiyang Zhou,Ziwei Liu,https://arxiv.org/pdf/2109.01134
https://doi.org/10.48550/arxiv.2204.02311,PaLM: Scaling Language Modeling with Pathways,2022-04-05,Aakanksha Chowdhery,Noah Fiedel,https://arxiv.org/pdf/2204.02311
https://doi.org/10.48550/arxiv.2205.11487,Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,2022-05-23,Chitwan Saharia,Mohammad Norouzi,https://arxiv.org/pdf/2205.11487
https://doi.org/10.48550/arxiv.2204.14198,Flamingo: a Visual Language Model for Few-Shot Learning,2022-04-29,Jean-Baptiste Alayrac,Karen Simonyan,https://arxiv.org/pdf/2204.14198
https://doi.org/10.48550/arxiv.2210.11416,Scaling Instruction-Finetuned Language Models,2022-10-20,Hyung Won Chung,"Wei, Jason",https://arxiv.org/pdf/2210.11416
https://doi.org/10.48550/arxiv.2205.11916,Large Language Models are Zero-Shot Reasoners,2022-05-24,Takeshi Kojima,Yusuke Iwasawa,https://arxiv.org/pdf/2205.11916
https://doi.org/10.48550/arxiv.2210.08402,LAION-5B: An open large-scale dataset for training next generation image-text models,2022-10-16,Christoph Schuhmann,Jenia Jitsev,https://arxiv.org/pdf/2210.08402
https://doi.org/10.48550/arxiv.2206.07682,Emergent Abilities of Large Language Models,2022-06-15,"Wei, Jason",William Fedus,https://arxiv.org/pdf/2206.07682
https://doi.org/10.1093/bib/bbac409,BioGPT: generative pre-trained transformer for biomedical text generation and mining,2022-09-24,Renqian Luo,Tie‐Yan Liu,https://arxiv.org/pdf/2210.10341
https://doi.org/10.48550/arxiv.2203.11171,Self-Consistency Improves Chain of Thought Reasoning in Language Models,2022-03-21,Xuezhi Wang,"Zhou, Denny",https://arxiv.org/pdf/2203.11171
https://doi.org/10.48550/arxiv.2203.15556,Training Compute-Optimal Large Language Models,2022-03-29,Jordan Hoffmann,Laurent Sifre,https://arxiv.org/pdf/2203.15556
https://doi.org/10.48550/arxiv.2206.04615,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,2022-06-09,Aarohi Srivastava,Daphne Ippolito,https://arxiv.org/pdf/2206.04615
https://doi.org/10.48550/arxiv.2210.03629,Persona-Driven Benchmarking for Generalizable and Human-Aware Artificial General Intelligence,2022-10-06,Ishan Katoch,Ishan Katoch,https://arxiv.org/pdf/2210.03629
https://doi.org/10.48550/arxiv.2204.01691,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",2022-04-04,Michael J. Ahn,"Zeng, Andy",https://arxiv.org/pdf/2204.01691
https://doi.org/10.48550/arxiv.2205.01917,CoCa: Contrastive Captioners are Image-Text Foundation Models,2022-05-04,Jiahui Yu,Yonghui Wu,https://arxiv.org/pdf/2205.01917
https://doi.org/10.48550/arxiv.2212.09292,ChatGPT: The End of Online Exam Integrity?,2022-12-19,Teo Sušnjak,Teo Sušnjak,https://arxiv.org/pdf/2212.09292
https://doi.org/10.48550/arxiv.2206.10789,Scaling Autoregressive Models for Content-Rich Text-to-Image Generation,2022-06-22,Jiahui Yu,Yonghui Wu,https://arxiv.org/pdf/2206.10789
https://doi.org/10.48550/arxiv.2205.10625,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,2022-05-21,Denny Zhou,Ed H.,https://arxiv.org/pdf/2205.10625
https://doi.org/10.48550/arxiv.2201.11990,"Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, A Large-Scale Generative Language Model",2022-01-28,Shaden Smith,Bryan Catanzaro,https://arxiv.org/pdf/2201.11990
https://doi.org/10.48550/arxiv.2211.01910,Large Language Models Are Human-Level Prompt Engineers,2022-11-03,Yongchao Zhou,Jimmy Ba,https://arxiv.org/pdf/2211.01910
https://doi.org/10.4230/oasics.commit2data.3,BLOOM: A 176B-Parameter Open-Access Multilingual Language Model,2022-11-09,"Workshop, BigScience",Ona de Gibert,https://arxiv.org/pdf/2211.05100
https://doi.org/10.48550/arxiv.2206.14858,Solving Quantitative Reasoning Problems with Language Models,2022-06-29,Aitor Lewkowycz,Vedant Misra,https://arxiv.org/pdf/2206.14858
https://doi.org/10.48550/arxiv.2202.03052,"OFA: Unifying Architectures, Tasks, and Modalities Through a Simple Sequence-to-Sequence Learning Framework",2022-02-07,Peng Wang,Hongxia Yang,https://arxiv.org/pdf/2202.03052
https://doi.org/10.48550/arxiv.2212.13138,Large Language Models Encode Clinical Knowledge,2022-12-26,Karan Singhal,Vivek Natarajan,https://arxiv.org/pdf/2212.13138
https://doi.org/10.48550/arxiv.2211.09085,Galactica: A Large Language Model for Science,2022-11-16,Ross Taylor,Robert Stojnic,https://arxiv.org/pdf/2211.09085
https://doi.org/10.48550/arxiv.2301.00234,A Survey on In-context Learning,2022-12-31,Qingxiu Dong,Zhifang Sui,https://arxiv.org/pdf/2301.00234
https://doi.org/10.48550/arxiv.2203.13474,CodeGen: An Open Large Language Model for Code with Multi-Turn Program Synthesis,2022-03-25,Erik Nijkamp,Caiming Xiong,https://arxiv.org/pdf/2203.13474
https://doi.org/10.48550/arxiv.2210.03493,Automatic Chain of Thought Prompting in Large Language Models,2022-10-07,Zhuosheng Zhang,Alex Smola,https://arxiv.org/pdf/2210.03493
https://doi.org/10.48550/arxiv.2209.09513,Learn to Explain: Multimodal Reasoning via Thought Chains for Science Question Answering,2022-09-20,Pan Lu,Ashwin Kalyan,https://arxiv.org/pdf/2209.09513
https://doi.org/10.48550/arxiv.2207.05608,Inner Monologue: Embodied Reasoning through Planning with Language Models,2022-07-12,Wenlong Huang,Brian Ichter,https://arxiv.org/pdf/2207.05608
https://doi.org/10.48550/arxiv.2209.06794,PaLI: A Jointly-Scaled Multilingual Language-Image Model,2022-09-14,Xi Chen,Radu Soricut,https://arxiv.org/pdf/2209.06794
https://doi.org/10.1038/s42256-022-00499-z,Controllable protein design with language models,2022-06-22,Noelia Ferruz,Birte Höcker,https://arxiv.org/pdf/2201.07338
https://doi.org/10.48550/arxiv.2204.00598,Socratic Models: Composing Zero-Shot Multimodal Reasoning with Language,2022-04-01,Andy Zeng,Pete Florence,https://arxiv.org/pdf/2204.00598
https://doi.org/10.48550/arxiv.2211.15006,Fine-tuning language models to find agreement among humans with diverse preferences,2022-11-28,Michiel A. Bakker,Christopher Summerfield,https://arxiv.org/pdf/2211.15006
https://doi.org/10.48550/arxiv.2106.09685,LoRA: Low-Rank Adaptation of Large Language Models,2021-06-17,J. Edward Hu,"Chen, Weizhu",https://arxiv.org/pdf/2106.09685
https://doi.org/10.48550/arxiv.2108.07258,On the Opportunities and Risks of Foundation Models,2021-08-16,Rishi Bommasani,William Yang Wang,https://arxiv.org/pdf/2108.07258
https://doi.org/10.1145/3458754,Domain-Specific Language Model Pretraining for Biomedical Natural Language Processing,2021-10-15,裕二 池谷,Hoifung Poon,https://arxiv.org/pdf/2007.15779
https://doi.org/10.48550/arxiv.2107.03374,Evaluating Large Language Models Trained on Code,2021-07-07,Mark Chen,Wojciech Zaremba,https://arxiv.org/pdf/2107.03374
https://doi.org/10.48550/arxiv.2106.08254,BEiT: BERT Pre-Training of Image Transformers,2021-06-15,Hangbo Bao,"Wei, Furu",https://arxiv.org/pdf/2106.08254
https://doi.org/10.48550/arxiv.2107.07651,Align before Fuse: Vision and Language Representation Learning with Momentum Distillation,2021-07-16,Junnan Li,Steven C. H. Hoi,https://arxiv.org/pdf/2107.07651
https://doi.org/10.48550/arxiv.2101.03961,Switch Transformers: Scaling to Trillion Parameter Models with Simple\n and Efficient Sparsity,2021-01-11,William Fedus,Noam Shazeer,https://arxiv.org/pdf/2101.03961
https://doi.org/10.48550/arxiv.2110.08207,Multitask Prompted Training Enables Zero-Shot Task Generalization,2021-10-15,Victor Sanh,Alexander M. Rush,https://arxiv.org/pdf/2110.08207
https://doi.org/10.48550/arxiv.2111.09543,DeBERTaV3: Improving DeBERTa using ELECTRA-Style Pre-Training with Gradient-Disentangled Embedding Sharing,2021-11-18,Pengcheng He,Weizhu Chen,https://arxiv.org/pdf/2111.09543
https://doi.org/10.48550/arxiv.2103.14030,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,2021-03-25,Ze Liu,Baining Guo,https://arxiv.org/pdf/2103.14030
https://doi.org/10.48550/arxiv.2101.03961,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,2021-01-11,William Fedus,Noam Shazeer,https://arxiv.org/pdf/2101.03961
https://doi.org/10.48550/arxiv.2108.10904,SimVLM: Simple Visual Language Model Pretraining with Weak Supervision,2021-08-24,Zirui Wang,Yuan Cao,https://arxiv.org/pdf/2108.10904
https://doi.org/10.48550/arxiv.2111.11432,Florence: A New Foundation Model for Computer Vision,2021-11-22,Lu Yuan,Pengchuan Zhang,https://arxiv.org/pdf/2111.11432
https://doi.org/10.48550/arxiv.2106.14448,R-Drop: Regularized Dropout for Neural Networks,2021-06-28,Xiaobo Liang,Tie‐Yan Liu,https://arxiv.org/pdf/2106.14448
https://doi.org/10.48550/arxiv.2112.04426,Improving language models by retrieving from trillions of tokens,2021-12-08,Sebastian Borgeaud,Laurent Sifre,https://arxiv.org/pdf/2112.04426
https://doi.org/10.48550/arxiv.2101.00190,Prefix-Tuning: Optimizing Continuous Prompts for Generation,2021-01-01,Xiang Lisa Li,Percy Liang,https://arxiv.org/pdf/2101.00190
https://doi.org/10.48550/arxiv.2111.02358,VLMo: Unified Vision-Language Pre-Training with Mixture-of-Modality-Experts,2021-11-03,Hangbo Bao,Furu Wei,https://arxiv.org/pdf/2111.02358
https://doi.org/10.48550/arxiv.2110.04366,Towards a Unified View of Parameter-Efficient Transfer Learning,2021-10-08,Junxian He,Graham Neubig,https://arxiv.org/pdf/2110.04366
https://doi.org/10.48550/arxiv.2109.03201,nnFormer: Interleaved Transformer for Volumetric Segmentation,2021-09-07,Hong-Yu Zhou,Yizhou Yu,https://arxiv.org/pdf/2109.03201
https://doi.org/10.48550/arxiv.2112.11446,"Scaling Language Models: Methods, Analysis &amp; Insights from Training Gopher",2021-12-08,Jack W. Rae,Geoffrey Irving,https://arxiv.org/pdf/2112.11446
https://doi.org/10.48550/arxiv.2109.08472,ActionCLIP: A New Paradigm for Video Action Recognition,2021-09-17,Mengmeng Wang,Yong Liu,https://arxiv.org/pdf/2109.08472
https://doi.org/10.48550/arxiv.2101.06804,What Makes Good In-Context Examples for GPT-$3$?,2021-01-17,Jiachang Liu,Weizhu Chen,https://arxiv.org/pdf/2101.06804
https://doi.org/10.1109/iccv48922.2021.00166,Airbert: In-domain Pretraining for Vision-and-Language Navigation,2021-10-01,Pierre-Louis Guhur,Cordelia Schmid,https://arxiv.org/pdf/2108.09105
https://doi.org/10.48550/arxiv.2110.04544,CLIP-Adapter: Better Vision-Language Models with Feature Adapters,2021-10-09,Peng Gao,Yu Qiao,https://arxiv.org/pdf/2110.04544
https://doi.org/10.48550/arxiv.2005.14165,Language Models are Few-Shot Learners,2020-05-28,T. B. Brown,Dario Amodei,https://arxiv.org/pdf/2005.14165
https://doi.org/10.48550/arxiv.2002.10957,MiniLM: Deep Self-Attention Distillation for Task-Agnostic Compression of Pre-Trained Transformers,2020-02-25,Wenhui Wang,Ming Zhou,https://arxiv.org/pdf/2002.10957
https://doi.org/10.48550/arxiv.2003.00104,AraBERT: Transformer-based Model for Arabic Language Understanding,2020-02-28,Wissam Antoun,Hazem Hajj,https://arxiv.org/pdf/2003.00104
https://doi.org/10.48550/arxiv.2001.08210,Multilingual Denoising Pre-training for Neural Machine Translation,2020-01-22,Yinhan Liu,Luke Zettlemoyer,https://arxiv.org/pdf/2001.08210
https://doi.org/10.48550/arxiv.2003.10555,ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,2020-03-23,Kevin B. Clark,Christopher D. Manning,https://arxiv.org/pdf/2003.10555
https://doi.org/10.48550/arxiv.2002.08909,REALM: Retrieval-Augmented Language Model Pre-Training,2020-02-10,Kelvin Guu,Ming‐Wei Chang,https://arxiv.org/pdf/2002.08909
https://doi.org/10.48550/arxiv.2004.09297,MPNet: Masked and Permuted Pre-training for Language Understanding,2020-04-20,Kaitao Song,Tie‐Yan Liu,https://arxiv.org/pdf/2004.09297
https://doi.org/10.48550/arxiv.2101.00027,The Pile: An 800GB Dataset of Diverse Text for Language Modeling,2020-12-31,Leo Gao,Connor Leahy,https://arxiv.org/pdf/2101.00027
https://doi.org/10.48550/arxiv.2006.03654,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,2020-06-05,Pengcheng He,Weizhu Chen,https://arxiv.org/pdf/2006.03654
https://doi.org/10.48550/arxiv.2006.06195,Large-Scale Adversarial Training for Vision-and-Language Representation Learning,2020-06-11,Zhe Gan,Jingjing Liu,https://arxiv.org/pdf/2006.06195
https://doi.org/10.14778/3421424.3421431,Deep entity matching with pre-trained language models,2020-09-01,Yuliang Li,Wang-Chiew Tan,https://arxiv.org/pdf/2004.00584
https://doi.org/10.48550/arxiv.2012.07805,Extracting Training Data from Large Language Models,2020-12-14,Nicholas Carlini,Colin Raffel,https://arxiv.org/pdf/2012.07805
https://doi.org/10.1109/icassp40776.2020.9054345,Transformer-Based Acoustic Modeling for Hybrid Speech Recognition,2020-04-09,Yongqiang Wang,Michael L. Seltzer,https://arxiv.org/pdf/1910.09799
https://doi.org/10.48550/arxiv.2006.16228,Self-Supervised MultiModal Versatile Networks,2020-06-29,Jean-Baptiste Alayrac,Andrew Zisserman,https://arxiv.org/pdf/2006.16228
